1.28.128.0/22	36
1.28.132.0/22	36
1.28.136.0/22	36
1.28.140.0/22	36
1.28.144.0/21	36
1.28.152.0/22	36
1.28.156.0/22	36
1.28.160.0/21	36
1.28.168.0/21	36
1.28.176.0/22	36
1.28.180.0/22	36
1.28.184.0/21	36
1.28.192.0/19	36
1.28.224.0/20	36
1.28.240.0/22	36
1.28.244.0/22	36
1.28.248.0/21	36
1.29.0.0/20	36
1.29.16.0/21	36
1.29.24.0/21	36
1.29.32.0/21	36
1.29.40.0/23	36
1.29.42.0/23	36
1.29.44.0/22	36
1.29.48.0/21	36
1.29.56.0/22	36
1.29.60.0/22	36
1.29.64.0/22	36
1.29.68.0/22	36
1.29.72.0/21	36
1.29.80.0/20	36
1.29.96.0/19	36
1.29.128.0/20	36
1.29.144.0/22	36
1.29.148.0/22	36
1.29.152.0/22	36
1.29.156.0/22	36
1.29.160.0/22	36
1.29.164.0/22	36
1.29.168.0/22	36
1.29.172.0/22	36
1.29.176.0/22	36
1.29.180.0/22	36
1.29.184.0/22	36
1.29.188.0/22	36
1.29.192.0/21	36
1.29.200.0/22	36
1.29.204.0/22	36
1.29.208.0/22	36
1.29.212.0/22	36
1.29.216.0/22	36
1.29.220.0/22	36
1.29.224.0/21	36
1.29.232.0/21	36
1.29.240.0/21	36
1.29.248.0/21	36
1.30.0.0/21	36
1.30.8.0/21	36
1.30.16.0/22	36
1.30.20.0/22	36
1.30.24.0/21	36
1.30.32.0/21	36
1.30.40.0/21	36
1.30.48.0/22	36
1.30.52.0/22	36
1.30.56.0/21	36
1.30.64.0/22	36
1.30.68.0/22	36
1.30.72.0/21	36
1.30.80.0/21	36
1.30.88.0/22	36
1.30.92.0/22	36
1.30.96.0/21	36
1.30.104.0/21	36
1.30.112.0/20	36
1.30.128.0/18	36
1.30.192.0/22	36
1.30.196.0/22	36
1.30.200.0/21	36
1.30.208.0/20	36
1.30.224.0/21	36
1.30.232.0/22	36
1.30.236.0/22	36
1.30.240.0/21	36
1.30.248.0/21	36
1.31.0.0/21	36
1.31.8.0/21	36
1.31.16.0/21	36
1.31.24.0/22	36
1.31.28.0/24	36
1.31.29.0/24	36
1.31.30.0/23	36
1.31.32.0/22	36
1.31.36.0/22	36
1.31.40.0/21	36
1.31.48.0/20	36
1.31.64.0/18	36
1.31.128.0/18	36
1.31.192.0/22	36
1.31.196.0/22	36
1.31.200.0/24	36
1.31.201.0/24	36
1.31.202.0/23	36
1.31.204.0/22	36
1.31.208.0/20	36
1.31.224.0/19	36
1.32.0.0/16	130
1.33.0.0/16	137
1.34.0.0/15	132
1.36.0.0/16	130
1.37.0.0/16	138
1.38.0.0/15	152
1.40.0.0/14	331
1.44.0.0/16	331
1.45.0.0/16	32
1.46.0.0/15	143
1.48.0.0/20	24
1.48.16.0/21	24
1.48.24.0/21	24
1.48.32.0/19	24
1.48.64.0/18	24
1.48.128.0/19	24
1.48.160.0/19	24
1.48.192.0/18	24
1.49.0.0/16	24
1.50.0.0/17	30
1.50.128.0/19	30
1.50.160.0/20	30
1.50.176.0/21	30
1.50.184.0/21	30
1.50.192.0/21	30
1.50.200.0/22	30
1.50.204.0/22	30
1.50.208.0/20	30
1.50.224.0/19	30
1.51.0.0/20	119
1.51.16.0/20	119
1.51.32.0/20	119
1.51.48.0/21	119
1.51.56.0/21	119
1.51.64.0/19	119
1.51.96.0/20	119
1.51.112.0/21	119
1.51.120.0/21	119
1.51.128.0/20	119
1.51.144.0/20	119
1.51.160.0/21	119
1.51.168.0/21	119
1.51.176.0/20	119
1.51.192.0/18	119
1.52.0.0/14	139
1.56.0.0/17	39
1.56.128.0/17	39
1.57.0.0/18	39
1.57.64.0/18	39
1.57.128.0/18	39
1.57.192.0/18	39
1.58.0.0/16	39
1.59.0.0/17	39
1.59.128.0/17	39
1.60.0.0/18	39
1.60.64.0/18	39
1.60.128.0/18	39
1.60.192.0/18	39
1.61.0.0/17	39
1.61.128.0/17	39
1.62.0.0/16	39
1.63.0.0/18	39
1.63.64.0/20	39
1.63.80.0/21	39
1.63.88.0/22	39
1.63.92.0/22	39
1.63.96.0/19	39
1.63.128.0/19	39
1.63.160.0/20	39
1.63.176.0/21	39
1.63.184.0/22	39
1.63.188.0/22	39
1.63.192.0/18	39
1.64.0.0/15	130
1.66.0.0/15	137
1.68.0.0/14	4
1.72.0.0/13	137
1.80.0.0/16	27
1.81.0.0/17	27
1.81.128.0/17	27
1.82.0.0/19	27
1.82.32.0/19	27
1.82.64.0/18	27
1.82.128.0/17	27
1.83.0.0/16	27
1.84.0.0/18	27
1.84.64.0/18	27
1.84.128.0/18	27
1.84.192.0/20	27
1.84.208.0/21	27
1.84.216.0/21	27
1.84.224.0/21	27
1.84.232.0/21	27
1.84.240.0/21	27
1.84.248.0/22	27
1.84.252.0/22	27
1.85.0.0/18	27
1.85.64.0/19	27
1.85.96.0/19	27
1.85.128.0/20	27
1.85.144.0/20	27
1.85.160.0/19	27
1.85.192.0/18	27
1.86.0.0/17	27
1.86.128.0/18	27
1.86.192.0/19	27
1.86.224.0/19	27
1.87.0.0/17	27
1.87.128.0/21	27
1.87.136.0/21	27
1.87.144.0/21	27
1.87.152.0/21	27
1.87.160.0/20	27
1.87.176.0/20	27
1.87.192.0/18	27
1.88.0.0/14	358
1.92.0.0/16	120
1.93.0.0/16	120
1.94.0.0/16	120
1.95.0.0/17	201
1.95.128.0/17	120
1.96.0.0/12	136
1.112.0.0/14	137
1.116.0.0/15	358
1.118.0.0/15	130
1.120.0.0/13	331
1.128.0.0/11	331
1.160.0.0/12	132
1.176.0.0/15	136
1.178.0.0/16	331
1.179.0.0/17	331
1.179.128.0/17	143
1.180.0.0/19	5
1.180.32.0/19	5
1.180.64.0/20	5
1.180.80.0/21	5
1.180.88.0/21	5
1.180.96.0/20	5
1.180.112.0/20	5
1.180.128.0/20	5
1.180.144.0/21	5
1.180.152.0/21	5
1.180.160.0/21	5
1.180.168.0/21	5
1.180.176.0/20	5
1.180.192.0/20	5
1.180.208.0/21	5
1.180.216.0/21	5
1.180.224.0/21	5
1.180.232.0/21	5
1.180.240.0/20	5
1.181.0.0/17	5
1.181.128.0/19	5
1.181.160.0/19	5
1.181.192.0/22	5
1.181.196.0/22	5
1.181.200.0/21	5
1.181.208.0/21	5
1.181.216.0/21	5
1.181.224.0/20	5
1.181.240.0/21	5
1.181.248.0/22	5
1.181.252.0/22	5
1.182.0.0/19	5
1.182.32.0/19	5
1.182.64.0/20	5
1.182.80.0/20	5
1.182.96.0/20	5
1.182.112.0/20	5
1.182.128.0/19	5
1.182.160.0/20	5
1.182.176.0/20	5
1.182.192.0/20	5
1.182.208.0/20	5
1.182.224.0/19	5
1.183.0.0/18	5
1.183.64.0/19	5
1.183.96.0/20	5
1.183.112.0/22	5
1.183.116.0/22	5
1.183.120.0/21	5
1.183.128.0/19	5
1.183.160.0/20	5
1.183.176.0/20	5
1.183.192.0/19	5
1.183.224.0/21	5
1.183.232.0/22	5
1.183.236.0/22	5
1.183.240.0/20	5
1.184.0.0/17	119
1.184.128.0/18	119
1.184.192.0/18	119
1.185.0.0/18	119
1.185.64.0/19	119
1.185.96.0/19	119
1.185.128.0/18	119
1.185.192.0/18	119
1.186.0.0/15	152
1.188.0.0/19	39
1.188.32.0/19	39
1.188.64.0/20	39
1.188.80.0/21	39
1.188.88.0/23	39
1.188.90.0/23	39
1.188.92.0/22	39
1.188.96.0/21	39
1.188.104.0/21	39
1.188.112.0/20	39
1.188.128.0/20	39
1.188.144.0/20	39
1.188.160.0/19	39
1.188.192.0/19	39
1.188.224.0/19	39
1.189.0.0/16	39
1.190.0.0/16	39
1.191.0.0/19	39
1.191.32.0/20	39
1.191.48.0/21	39
1.191.56.0/22	39
1.191.60.0/22	39
1.191.64.0/20	39
1.191.80.0/21	39
1.191.88.0/21	39
1.191.96.0/20	39
1.191.112.0/20	39
1.191.128.0/20	39
1.191.144.0/21	39
1.191.152.0/22	39
1.191.156.0/22	39
1.191.160.0/21	39
1.191.168.0/23	39
1.191.170.0/23	39
1.191.172.0/22	39
1.191.176.0/21	39
1.191.184.0/21	39
1.191.192.0/21	39
1.191.200.0/21	39
1.191.208.0/21	39
1.191.216.0/21	39
1.191.224.0/19	39
1.192.0.0/16	16
1.193.0.0/17	16
1.193.128.0/17	16
1.194.0.0/18	16
1.194.64.0/19	16
1.194.96.0/20	16
1.194.112.0/20	16
1.194.128.0/18	16
1.194.192.0/18	16
1.195.0.0/18	16
1.195.64.0/18	16
1.195.128.0/18	16
1.195.192.0/18	16
1.196.0.0/19	16
1.196.32.0/20	16
1.196.48.0/20	16
1.196.64.0/18	16
1.196.128.0/19	16
1.196.160.0/19	16
1.196.192.0/18	16
1.197.0.0/19	16
1.197.32.0/19	16
1.197.64.0/19	16
1.197.96.0/19	16
1.197.128.0/19	16
1.197.160.0/19	16
1.197.192.0/20	16
1.197.208.0/20	16
1.197.224.0/20	16
1.197.240.0/20	16
1.198.0.0/16	16
1.199.0.0/20	16
1.199.16.0/20	16
1.199.32.0/20	16
1.199.48.0/20	16
1.199.64.0/20	16
1.199.80.0/21	16
1.199.88.0/21	16
1.199.96.0/19	16
1.199.128.0/19	16
1.199.160.0/19	16
1.199.192.0/18	16
1.200.0.0/16	132
1.201.0.0/16	136
1.202.0.0/15	1
1.204.0.0/16	24
1.205.0.0/17	24
1.205.128.0/18	24
1.205.192.0/18	24
1.206.0.0/18	24
1.206.64.0/18	24
1.206.128.0/18	24
1.206.192.0/18	24
1.207.0.0/17	24
1.207.128.0/19	24
1.207.160.0/19	24
1.207.192.0/18	24
1.208.0.0/12	136
1.224.0.0/12	136
1.240.0.0/13	136
1.248.0.0/14	136
1.252.0.0/15	136
1.254.0.0/16	136
1.255.0.0/19	136
1.255.32.0/23	136
1.255.34.0/24	138
1.255.35.0/24	136
1.255.36.0/22	136
1.255.40.0/21	136
1.255.48.0/20	136
1.255.64.0/18	136
1.255.128.0/17	136
2.0.0.0/12	204
2.16.0.0/22	230
2.16.4.0/23	220
2.16.6.0/23	198
2.16.8.0/21	230
2.16.16.0/23	230
2.16.18.0/23	198
2.16.20.0/22	230
2.16.24.0/21	230
2.16.32.0/20	230
2.16.48.0/23	230
2.16.50.0/23	201
2.16.52.0/23	230
2.16.54.0/24	230
2.16.55.0/24	201
2.16.56.0/21	230
2.16.64.0/22	230
2.16.68.0/23	220
2.16.70.0/23	191
2.16.72.0/23	195
2.16.74.0/23	201
2.16.76.0/22	230
2.16.80.0/20	230
2.16.96.0/23	198
2.16.98.0/23	198
2.16.100.0/23	199
2.16.102.0/23	201
2.16.104.0/23	198
2.16.106.0/23	230
2.16.108.0/22	230
2.16.112.0/22	230
2.16.116.0/23	230
2.16.118.0/23	204
2.16.120.0/22	230
